,Age,Gender,Race,Living_area,Income,Bus_usage,Challenges,,,,,,Limited_routes,Inadequate_Service,Highcost,Preferown,Safety_1,Insufficient_info,Carry_items,Disabilities,Overcrowded,Privacy_concernbus,Improvements,,,,,,,Buslanes_2,App_2,Services_2,Hybrid_2,Hours_2,Sharing_2,Loyalty_2,Purpose,,,,,,Work,Education,Medical,Leisure,Shopping,Church,Other,Wait_time,Commute_time,Getting_tostation,Time_spend,Concern_COVID19,Reasons_COVID19,,,Overcrowded,Masks,Socialdistance,Smartphone,Application_used,,,Google,CATS,Other,Satisfaction_CATS,Reasons_CATS,,,Schedule_3,Userfriendly_3,Slow_3,Others_3,Willingness_Uber,Desired_timeline,Ticket_location,Willingness_newapp,Concern_newapp,Willingness_travelapp,Interested_intech,,,,Wait_time,Trip,Privacy,App
23,65-74,Male,White,Uptown,12.5K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,,,,,,0,0,0,0,1,0,0,10_20,20_30,Anotherbus,10_20,UsuallyConcerned,Masks,Socialdistance,,0,1,1,No,NA,,,0,0,0,NA,Slow,,,0,0,1,0,Yes,30,CTC,Yes,Trust_inbus,Somewhatwilling,Wait_time,,,,1,0,0,0
24,45-54,Male,White,North,12.5K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Medical,,,,,,0,0,1,0,0,0,0,10_20,10_20,Anotherbus,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,NA,,,0,0,0,0,No,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
25,35-44,Male,Black,Uptown,80K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,5_10,5_10,Walk,5_10,Notimportant,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,NA,Schedule,,,1,0,0,0,No,30,Other,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
26,55-64,Male,Other,North,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,,,,,,0,0,0,0,1,0,0,5_10,5_10,Anotherbus,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,Userfriendly,,,0,1,0,0,No,30,TicketMachine,Yes,Trust_inapp,Somewhatwilling,Wait_time,,,,1,0,0,0
27,35-44,Female,Black,West,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Work,Leisure,Medical,,,1,0,1,1,1,0,0,5_10,30,Anotherbus,20_30,veryConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Verysatisfied,NA,,,0,0,0,0,Yes,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
28,35-44,Male,Latino,East,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Work,Leisure,Medical,,,1,0,1,1,1,0,0,5_10,5_10,Anotherbus,20_30,veryConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Verysatisfied,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
29,25-34,Female,Black,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Medical,,,,,,0,0,1,0,0,0,0,10_20,5_10,Walk,10_20,UsuallyConcerned,Socialdistance,,,0,0,1,Yes,Google,,,1,0,0,Somewhatsatisfied,Schedule,,,1,0,0,0,Yes,30,Website,Yes,Trust_inbus,Verywilling,Wait_time,,,,1,0,0,0
30,18-24,Male,White,South,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,20_30,5_10,Walk,5_10,veryConcerned,Masks,,,0,1,0,Yes,CATS,,,0,1,0,Verysatisfied,Schedule,,,1,0,0,0,No,30,Website,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
31,65-74,Male,Black,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,10_20,Walk,10_20,veryConcerned,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,NA,,,0,0,0,0,No,30,Website,Yes,Privacy,Somewhatwilling,Wait_time,,,,1,0,0,0
32,25-34,Male,Other,Uptown,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,5_10,10_20,Walk,10_20,veryConcerned,Overcrowded,Socialdistance,,1,0,1,Yes,Google,CATS,,1,1,0,Verysatisfied,NA,,,0,0,0,0,Yes,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
